image_name,category
./data/22161.jpg,61
./data/26933.jpg,72
./data/4310.jpg,10
./data/46720.jpg,125
./data/25852.jpg,69
./data/593.jpg,2
./data/13274.jpg,35
./data/22391.jpg,61
./data/15503.jpg,42
./data/22963.jpg,62
./data/5095.jpg,12
./data/41051.jpg,109
./data/9877.jpg,26
./data/401.jpg,1
./data/40205.jpg,107
./data/34559.jpg,92
./data/29157.jpg,78
./data/47710.jpg,128
./data/29697.jpg,80
./data/25285.jpg,68
./data/41096.jpg,109
./data/38353.jpg,102
./data/36556.jpg,97
./data/6256.jpg,16
./data/42257.jpg,113
./data/33737.jpg,90
./data/45669.jpg,123
./data/3437.jpg,8
./data/37931.jpg,101
./data/33648.jpg,90
./data/31038.jpg,83
./data/20314.jpg,56
./data/8764.jpg,23
./data/379.jpg,1
./data/13474.jpg,36
./data/47374.jpg,127
./data/21193.jpg,59
./data/20310.jpg,56
./data/12352.jpg,32
./data/36229.jpg,97
./data/13288.jpg,35
./data/22962.jpg,62
./data/30255.jpg,81
./data/17259.jpg,47
./data/19247.jpg,52
./data/40638.jpg,108
./data/15556.jpg,43
./data/22038.jpg,60
./data/44477.jpg,119
./data/36497.jpg,97
./data/34188.jpg,91
./data/18996.jpg,52
./data/28087.jpg,75
./data/26027.jpg,70
./data/10215.jpg,26
./data/22378.jpg,61
./data/24118.jpg,65
./data/30992.jpg,83
./data/35172.jpg,94
./data/33162.jpg,89
./data/24932.jpg,67
./data/44874.jpg,120
./data/18141.jpg,50
./data/29159.jpg,78
./data/6176.jpg,15
./data/17898.jpg,49
./data/4975.jpg,12
./data/22880.jpg,62
./data/47292.jpg,127
./data/36788.jpg,98
./data/14748.jpg,40
./data/40782.jpg,108
./data/44410.jpg,119
./data/9004.jpg,23
./data/34737.jpg,93
./data/7374.jpg,19
./data/36663.jpg,97
./data/512.jpg,1
./data/8437.jpg,22
./data/34522.jpg,92
./data/42201.jpg,112
./data/29351.jpg,79
./data/40571.jpg,108
./data/8806.jpg,23
./data/43401.jpg,116
./data/47580.jpg,128
./data/12765.jpg,34
./data/37417.jpg,100
./data/29311.jpg,78
./data/32278.jpg,87
./data/5817.jpg,15
./data/44662.jpg,120
./data/24290.jpg,65
./data/14489.jpg,39
./data/23053.jpg,63
./data/12359.jpg,32
./data/15433.jpg,42
./data/17120.jpg,47
./data/13404.jpg,36
./data/1262.jpg,3
./data/38158.jpg,102
./data/3649.jpg,9
./data/26905.jpg,72
./data/41491.jpg,110
./data/21688.jpg,60
./data/24575.jpg,66
./data/43151.jpg,116
./data/47748.jpg,128
./data/17354.jpg,48
./data/38175.jpg,102
./data/17476.jpg,48
./data/46494.jpg,125
./data/9476.jpg,25
./data/38454.jpg,103
./data/47982.jpg,129
./data/14050.jpg,38
